text,label
tam zamanlı dediğin bütün sezon boyunca mı yoksa çalışma saati olarak mı,0
iosta sildiğim bir numarayı bulma şansım varmı,0
anlamama yardımcı olabilecek var mi,0
tabletle çizim yapabileceğimiz bir uygulama önerisi olan var mı android,0
arkadslar yardımcı olabilecek var mı cihazın dilini degidtirnce ekran soluk renk oluyo,0
c ile mi daha çok kazanırız pyhton la mı,0
günaydın arkadaşlar bi sorum olucak yazılım çalışıyorum frondend ağırlıklı şimdi de backend tarafına bakmaya başladım ortak projeler üstünde calisabilecegimiz gruplar var mı acaba varsa nereden ulaşabilirim bilgisi olan var mı,0
asp net mi tercih etmeli yoksa php mi,0
uzaktan yada ofis içinde çalışacak takım arkadaşları arıyoruz ilgilenen mesaj atsın bana,0
merhabalar laravel inertia js ile seo uyumlu site yapmak mümkünmü,0
sql ile kendimi geliştirmek için nasıl projeler yapabilirim,0
bi ara kompleks bir blog sitesi kodlayacağım sadece saf js ile spa olacak o zaman mehmet who are you ve mustafa yı etiketlerim şu alıntıladığım bottan bir kurtulabilirsem,0
bu dosyayı silmek için trustedınstaller izni almalısınız bu uyarıyı alıyorum bi türlü de çözemedim bilen var mı,0
kodu atar mısın,0
sınav için yardım isteyebiliyormuyuz,0
pythonla alakalı güzel bir pdfi olan varmı,0
mssql için express mi yoksa developer olanı mı tavsiye edersiniz,0
valla hatanın olmadığına emin gibiyim demek ki semantic text similarity ile sınav ödev ve yoklama yapanların etiketine sahip olduğu verisetine koyunca çok verimli bir binary text classifier görevi görebiliyor,0
merhaba algoritmayla ilgili en iyi kaynak neyi önere bilirsiniz,0
o yüzden bu gruba sormak istiyorum,0
merhabalar internet üzerilen verilen bir tool var hani github da oluyor ya ben bunu nasıl kullanabilirim verilen kodları nereye yazmalıyım yeni başlıyorum böyle şeylere,0
python kullanmam için linux işletim sisteminimi kullanmam gerekiyor yardımcı olurmusunuz yeni girdim bu platforma,0
algoritmalar sadece mastürbasyon kalıplarıdır aptalca mastürbasyondan başka seçenek yoktur,0
arkadaşlar sql nerelerde kullanılır yardımcı olabilir misiniz,0
kodu bir atar mısınız,0
arkadaşlar programlama okuyup staj defteri dolduran var mı,0
onda sıkıntı yok ya akış doğru mu tasarıma uygunluk açisindan,0
akış diyagramını öğreten aöf kitabı vardı gönderebilirim,0
yok bir uygulama yapacam veriler sql server de gözükecek ve kullanıcı giriş yaparken verdiği bilgiler sql server de varsa giriş yapıcak yoksa yapamıycak,0
bir web sitesinde bulunan filmi indirebilen node js kodu yazabilirmiyim,0
mssql mi,0
oda olmuyor ki kim hangi dilde tecrubeliyse onu ovuyor hepsinden dinledim yine kafa karisikligi gitmiyor,0
hoş geldin lütfen aşağıdan bir dakika içerisinde robot olmadığınızı doğrulayın aksi takdirde gruptan atılacaksınız,0
siten acık,0
vallahi bende bu çözemedim hosting firmasına söyledim açık diyo ben kendim girebiliyorum kişi olunca giremeyen bir sorun var sandım,0
c için kullanıyorum,0
otomasyon,0
bunu bir dene,0
tmm,0
yardımcı olabilecek var mı,0
intte azcik araştır algoritmasını bul,0
fikri olan,0
sonra gpt e yaptır,0
acikcası kodlarim basit butonlara komut veriyorum başka forma atıyo o kadar,0
nosql json la zaten,0
hoş geldin kurallarımızı okuduktan sonra sorularını direkt sorabilirsin konu dışı sohbet için genel sohbet grubumuza katılabilirsin diğer gruplarımız programlama grupları listesinde,0
hocam evet konu dışı gelebilir ama bi sorum olcakti,0
olmayabilir,0
tamam sağ ol teşekkürler için öylesine sordum bu arada,0
np,0
en kısa halde anlatmaya çalıştım,0
arkadasalar selanmun aleykum,0
phptpsop,0
merhaba aramıza hoş geldin umarım yazılım hakkında konuşup takıldığımız yerlerde yardımlaştığımız grubumuzda iyi vakit geçirirsin bize kendinden kısaca bahseder misin unutma burası sınava ya da ödeve yardım grubu değil,0
yani geçerli olup olmadığını nasıl kontrol edicem yeni başladım backend e nodejs üzerinden,0
selenium aleyküm,0
ve aleyküm slaym,0
arkadaşlar,0
xampp üzerinden bir web sitesi yapıyorum ama vscodea yazdığım değişiklikler yaptığım siteye etki etmiyor ne yapmalıyım,0
arkadaşlar reklam ajansları neden wordpress kullanıyorlar kod yazmıyorlar,0
kolay,0
kartimda lira var alacagim urun tl idi ve şuan o ürüne zam geldi tl oldu shhahshahs nasil alcam merak ediom,0
bunu al birde gb ram taktın mi tadından yenmez,0
veya r h modeli olan var onlarda güzel,0
arkadaşlar yapım aşamasında sayfası gibi bir görsel hazırlayıp siteye yükleyeceğim bunu yaparken boyutu nasıl olmalı,0
yanlis anlama yolla demedim zor olan atm uzakk,0
flash diski kaybettim bilgisayarda işlem yaptığım flash diskte olan dosyayı nasıl açabilirim autosave dosyasına nasıl ulaşabilirim,0
suç evet okulla ilisigini bile keserler,0
yazılım içinse bence tane de olsa birisi dikey de kullanabileceğin monitör,0
yazılım icin,0
sayfayı,0
